原省份,原始分,百分位(%),对应山西分,Delta
浙江2026,517,85.29638224959875,437.2692317254716,-79.73076827452837
浙江2026,512,88.59367544354313,430.00226852732766,-81.99773147267234
浙江2026,507,91.88175074827572,422.423224066958,-84.57677593304197
浙江2026,502,95.11397648896022,414.3497262175736,-87.65027378242638
浙江2026,497,98.16672450440291,406.1616924327495,-90.83830756725052
河北2026历史,671,0.04841858648965248,661.2901574905636,-9.709842509436385
河北2026历史,666,0.08902772354549005,657.7730701785524,-8.226929821447584
河北2026历史,661,0.14994142912924638,654.6589535337758,-6.341046466224157
河北2026历史,656,0.24677860210855135,649.9563808780052,-6.043619121994766
河北2026历史,651,0.40296759078484967,644.9489205211032,-6.051079478896781
河北2026历史,646,0.6669269816477938,637.9527286216322,-8.047271378367782
河北2026历史,641,1.0089808668488873,631.6837613148273,-9.31623868517272
河北2026历史,636,1.4338149160484186,625.4429526818359,-10.55704731816411
河北2026历史,631,1.9601718078875439,619.6359572379877,-11.364042762012332
河北2026历史,626,2.719250292854354,612.9455035511888,-13.054496448811165
河北2026历史,621,3.584537290121047,606.4588922596341,-14.541107740365874
